link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+4c878013-6ec3-4666-8fce-533881f32d8a,PATTY MILLS,"Steal - Feb 1 2020, Base Set (Series 1), SAS",Common,#/3167LE,$105.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+94ecf5e5-cddd-4f28-bcb6-0c35f657e04e,STEPH CURRY,"3 Pointer - Dec 22 2020, Base Set (Series 2), GSW",Common,#/7500LE,$409.00
https://www.nbatopshot.com/listings/p2p/3a0ae6ce-f22e-4d98-b1fe-906f859df983+ed7f7aa7-eafa-4a4f-ad65-190127940941,ZION WILLIAMSON,"Handles - Aug 9 2020, Lace 'Em Up (Series 1), NOP",Legendary,#/75LE,"$37,999.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,STANLEY JOHNSON,"Dunk - Dec 29 2020, Base Set (Series 2), TOR",Common,#/12000LE,$15.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d2337a51-ea30-4054-a6f9-90f4674acd98,WILL BARTON,"Dunk - Jan 5 2021, Base Set (Series 2), DEN",Common,#/12000LE,$15.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bb5f468d-5759-4535-b162-25e4ff656a51,TRISTAN THOMPSON,"Dunk - Jan 24 2021, Base Set (Series 2), BOS",Common,#/12000LE,$22.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+b9a572cd-51f8-4a0e-8acf-d58361cb8ead,SHAI GILGEOUS-ALEXANDER,"Layup - Aug 1 2020, Base Set (Series 1), OKC",Common,#/2681LE,$385.00
https://www.nbatopshot.com/listings/p2p/4e166b27-3099-44c3-9de3-cac2b9751692+34169e0a-8c2c-47f4-97c8-f63bbf727290,ENES KANTER,"Steal - Dec 12 2019, With the Strip (Series 1), BOS",Rare,#/499LE,$493.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+99a3f83b-6510-437e-8cae-9ea4848b105c,ERIC PASCHALL,"Dunk - Jan 4 2020, Metallic Gold LE (Series 1), GSW",Rare,#/299LE,"$1,085.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1acc1232-5946-4399-bf98-c99a1c94dec4,MILES BRIDGES,"Dunk - Nov 13 2019, Base Set (Series 1), CHA",Common,#/3999LE,$134.00
https://www.nbatopshot.com/listings/p2p/708a6f60-5c93-406e-854f-50dd6734c0dd+4653c3cd-0d18-4112-a1cf-4839b903440f,MALIK BEASLEY,"Layup - Jan 23 2021, Holo Icon (Series 2), MIN",Legendary,#/99LE,"$5,450.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+60ff0362-fe78-44d4-890b-93f90124a6ce,ISH SMITH,"Assist - Jan 1 2021, Base Set (Series 2), WAS",Common,#/15000LE,$12.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+29a35f9e-323e-43a2-a4e6-bccce704de07,JAYLEN BROWN,"Steal - Sep 19 2020, Base Set (Series 1), BOS",Common,#/2500LE,$350.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+715bac73-3bc7-40d2-905c-783e2bef516d,JOSH OKOGIE,"Dunk - Feb 23 2020, Base Set (Series 1), MIN",Common,#/3999LE,$95.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b889a064-ca18-4e52-8650-a6175161713f,IVICA ZUBAC,"Dunk - Dec 22 2020, Base Set (Series 2), LAC",Common,#/15000LE,$12.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1aa21741-e484-4a51-9ea1-fc362e96c77f,JOSH RICHARDSON,"Block - Feb 7 2020, Base Set (Series 1), PHI",Common,#/3345LE,$105.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+b3eaf03e-a764-4959-9eae-9442f06d1217,STEPH CURRY,"3 Pointer - Mar 5 2020, Base Set (Series 1), GSW",Common,#/3600LE,"$2,330.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+81883ed8-b2a1-47fe-b120-e5ebe8b26a3f,P.J. TUCKER,"Layup - Nov 11 2019, Base Set (Series 1), HOU",Common,#/3999LE,$95.00
https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+68f21a26-9504-48f9-a2ca-713567a5c726,KELDON JOHNSON,"Dunk - Jan 3 2021, Metallic Gold LE (Series 2), SAS",Rare,#/499LE,"$1,024.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+f9f9cec9-acbe-42da-8fa1-1c623f095f59,RUI HACHIMURA,"Dunk - Nov 8 2019, Base Set (Series 1), WAS",Common,#/3999LE,$393.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+10db33f6-f9dc-4571-86db-c49a6b33a863,KHRIS MIDDLETON,"Dunk - Jan 28 2020, Base Set (Series 1), MIL",Common,#/1000LE,$500.00
https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+48ceb6bc-13ea-43cd-b1cd-6aafac4763d1,JIMMY BUTLER,"Dunk - Mar 22 2014, Run It Back (Series 1), CHI",Rare,#/275LE,"$3,499.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+9ac24e13-f3df-4235-acb0-b9b42c73ac0f,DARIUS GARLAND,"Layup - Jan 18 2020, Base Set (Series 1), CLE",Common,#/3999LE,$424.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+769443aa-0e2c-47e7-936f-5acf08db9151,RUDY GOBERT,"Dunk - Aug 3 2020, Base Set (Series 1), UTA",Common,#/2681LE,$275.00
https://www.nbatopshot.com/listings/p2p/ad8e85a4-2240-4604-95f6-be826966d988+58f19b13-6b92-40e5-90d2-7e0de29be912,RUI HACHIMURA,"Assist - Dec 31 2020, Cool Cats (Series 2), WAS",Common,#/5000LE,$258.00
https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+fc4c6e3b-856d-4d21-b06b-4abdd1fb95d2,BOGDAN BOGDANOVIĆ,"Jump Shot - Jan 1 2021, Metallic Gold LE (Series 2), ATL",Rare,#/499LE,$499.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+ba440138-ea39-4337-9ded-7a39641b798a,ERIC GORDON,"Dunk - Nov 4 2019, Base Set (Series 1), HOU",Common,#/2981LE,$118.00
https://www.nbatopshot.com/listings/p2p/3a0ae6ce-f22e-4d98-b1fe-906f859df983+815bf3d5-300d-4176-bc53-a89681b57811,TYLER HERRO,"Jump Shot - Oct 6 2020, Lace 'Em Up (Series 1), MIA",Legendary,#/43LE,"$22,500.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6d0f4982-015d-4e5c-8e46-0e8a8f9949ac,TYRESE MAXEY,"Layup - Dec 23 2020, Base Set (Series 2), PHI",Common,#/4000LE,$322.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d0a816fe-2e72-4134-ad40-494293408a8b,FRED VANVLEET,"3 Pointer - Dec 31 2020, Base Set (Series 2), TOR",Common,#/15000LE,$24.00
https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+1e2f34bd-41bb-41c8-87d2-7a05c1873a86,CHRIS BOSH,"Jump Shot - Dec 28 2013, Run It Back (Series 1), MIA",Rare,#/275LE,"$7,199.00"
https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+84e9df07-d376-4d81-bf2e-14d168b0b2a8,CJ MCCOLLUM,"3 Pointer - Dec 26 2020, Metallic Gold LE (Series 2), POR",Rare,#/499LE,$929.00
https://www.nbatopshot.com/listings/p2p/320cae53-d585-4e74-8a66-404fa3543c19+b70db602-c210-49f4-8685-b396161a89c5,RAJON RONDO,"Assist - Oct 2 2020, 2020 NBA Finals (Series 1), LAL",Legendary,#/79LE,"$7,995.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+247d68b1-e71e-4e0f-be5e-d70193bec510,SPENCER DINWIDDIE,"Layup - Dec 27 2020, Base Set (Series 2), BKN",Common,#/15000LE,$16.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+ea889ef6-0d9f-4c04-bbc6-0d46bdbd8cb5,BRANDON INGRAM,"Dunk - Oct 28 2019, Base Set (Series 1), NOP",Common,#/3999LE,$375.00
https://www.nbatopshot.com/listings/p2p/33a4a3a3-a32c-4925-a4e8-7d24e56b105e+f4d7526c-711a-442b-86e6-adcaa0b2ae1b,MARKELLE FULTZ,"Dunk - Jan 4 2021, Metallic Gold LE (Series 2), ORL",Rare,#/499LE,$544.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+8d3a2c69-e1fe-4074-86cd-64b3e012f1d4,TOBIAS HARRIS,"Dunk - Feb 11 2020, Base Set (Series 1), PHI",Common,#/3999LE,$170.00
https://www.nbatopshot.com/listings/p2p/320cae53-d585-4e74-8a66-404fa3543c19+5ed1fb13-72df-4e72-afe6-09d35f7c5672,DUNCAN ROBINSON,"3 Pointer - Oct 4 2020, 2020 NBA Finals (Series 1), MIA",Legendary,#/79LE,"$6,500.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+f0446f3d-2b4f-4626-a8c9-8ce9d0ff8cd1,TOMÁŠ SATORANSKÝ,"Dunk - Nov 23 2019, Base Set (Series 1), CHI",Common,#/3999LE,$87.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+37edf037-8f27-4b82-92db-b6e2db4d3bb0,MARCUS SMART,"Steal - Nov 20 2019, Metallic Gold LE (Series 1), BOS",Rare,#/299LE,"$1,050.00"
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+59c27a62-5054-4ff7-bfd9-2044dcbfe4a7,BRADLEY BEAL,"Layup - Feb 7 2020, Metallic Gold LE (Series 1), WAS",Rare,#/299LE,"$3,575.00"
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+45c2c7f0-c0f1-4ab8-8d5c-b836dfce41a5,AARON GORDON,"Dunk - Jan 15 2020, Metallic Gold LE (Series 1), ORL",Rare,#/299LE,"$1,249.00"
https://www.nbatopshot.com/listings/p2p/9c8202c7-698b-4f44-b029-b70ddc49e9dc+29a35f9e-323e-43a2-a4e6-bccce704de07,JAYLEN BROWN,"Steal - Sep 19 2020, Eastern Conference Finals (Series 1), BOS",Rare,#/999LE,"$2,199.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+b2afd92f-bcf5-494f-9b05-b5a50165d106,KRISTAPS PORZIŅĢIS,"3 Pointer - Dec 14 2019, Base Set (Series 1), DAL",Common,#/2982LE,$299.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+45e0e8c4-a281-40b1-91fd-c777300a29ed,DEANDRE JORDAN,"Dunk - Jan 2 2020, Base Set (Series 1), BKN",Common,#/1500LE,$215.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+ebd68015-8b97-4493-8a53-7fc6f3b6af3f,DANNY GREEN,"Assist - Oct 2 2020, Base Set (Series 1), LAL",Common,#/1284LE,$355.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+459a666a-84a8-459c-b9e7-30772aae4b66,DERRICK JONES JR.,"Dunk - Dec 26 2020, Base Set (Series 2), POR",Common,#/12000LE,$23.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+9efe1583-9c4f-4351-aef3-4794e7c3ae29,TORREY CRAIG,"Block - Oct 25 2019, Base Set (Series 1), DEN",Common,#/3340LE,$98.00
